"HasSubmitButton","HasHiddenFields","HasPasswordField","Bank","Pay","Crypto","NoOfCSS","NoOfEmptyRef","label"
1,1,0,0,0,0,34,8,1
0,1,0,1,1,0,4,1,1
0,1,0,0,1,0,10,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,0,1
1,1,1,0,0,0,10,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,7,0,1
1,1,0,1,1,1,4,0,1
0,0,0,0,0,0,5,0,1
0,0,0,1,0,0,9,3,1
1,0,0,0,0,0,3,0,1
1,0,0,0,1,0,10,16,1
0,1,0,0,0,0,2,2,0
0,0,0,0,0,0,7,0,1
0,1,0,0,0,0,5,35,1
1,0,0,1,0,0,8,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,11,0,1
0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,3,1
1,0,0,1,1,0,2,0,1
1,1,0,0,0,0,1,0,1
1,1,1,0,0,0,5,2,1
1,1,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,31,1,1
1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1
0,1,0,0,1,0,11,1,1
1,1,0,1,1,1,29,1,1
1,1,0,0,0,0,19,0,1
1,0,0,0,0,0,7,0,1
0,1,0,1,0,0,6,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,11,0,1
0,1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,8,3,1
1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,0,1
1,0,0,0,0,0,14,8,1
1,0,0,0,0,0,3,4,1
1,0,0,0,0,0,5,0,1
1,1,0,0,0,0,23,6,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1
0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6,0,1
0,0,0,1,0,0,6,2,1
1,1,0,0,1,0,29,7,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,8,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,4,9,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,3,10,1
1,0,0,0,0,0,14,0,1
1,1,0,0,0,0,4,0,0
1,1,0,0,1,0,12,0,1
1,1,1,1,1,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,19,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,13,2,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,17,1
0,1,0,0,0,0,9,3,1
0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,15,11,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,31,2,1
0,1,0,0,1,0,5,2,1
0,1,0,0,1,0,29,0,1
1,1,0,1,0,0,7,0,1
1,0,0,0,0,0,1,0,0
1,1,0,0,0,0,7,14,1
1,0,0,0,1,0,8,3,1
0,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,1,1
1,1,0,0,0,0,45,2,1
0,0,0,0,0,0,17,2,1
0,0,0,0,0,1,0,0,1
1,1,0,0,0,0,3,0,1
1,1,0,0,0,0,18,0,1
0,1,0,0,1,0,27,4,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,3,4,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,0
1,1,0,0,0,0,17,0,1
1,1,0,0,1,0,6,7,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,1,1
0,0,0,0,0,0,2,0,1
0,1,0,0,0,0,1,0,1
1,1,1,1,1,0,3,4,1
0,1,0,1,1,0,6,13,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
0,1,0,0,0,1,3,5,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,4,1
0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,5,3,1
1,1,0,0,0,0,6,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,2,1
0,0,0,1,0,0,29,14,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,0,1
0,0,0,0,0,0,1,6,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,1,7,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,1,5,4,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,8,10,1
0,0,0,0,0,0,2,2,0
0,0,0,0,0,0,6,0,1
0,0,0,0,0,0,1,0,0
1,1,1,1,1,1,20,1,1
1,1,0,0,1,0,1,0,1
1,1,0,0,0,1,18,0,1
1,1,0,0,1,0,27,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,3,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,73,21,1
1,0,0,0,0,0,1,0,1
1,1,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,3,6,1
1,0,0,0,0,0,2,4,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,4,18,1
1,1,0,0,0,0,2,0,0
0,1,1,0,0,0,1,1,0
0,1,0,1,1,0,3,0,0
1,0,0,1,0,0,21,0,1
1,1,0,0,0,0,12,0,1
1,1,0,0,0,0,5,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,25,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,21,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,1,0,2,0,1
0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,9,3,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,5,130,1
1,1,0,1,0,0,1,9,1
1,1,1,1,1,0,24,7,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,1,0,0
0,1,0,1,0,1,3,0,0
1,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0
1,1,1,1,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,0
1,0,0,0,1,0,20,14,1
1,0,0,1,0,0,3,0,1
0,1,0,0,0,0,6,13,1
1,1,0,1,0,0,54,6,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,5,2,1
0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,7,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,8,0,1
1,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,31,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,6,1,1
0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,1,0,0
1,0,0,0,0,0,1,0,1
1,1,0,1,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,5,22,1
1,1,0,0,0,0,6,17,1
0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,2,2,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,40,1
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,3,2,1
1,1,0,0,0,0,1,3,1
0,1,0,0,0,0,5,0,1
1,1,0,0,1,0,4,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,7,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,59,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,14,0,0
1,1,0,1,0,0,1,2,1
0,0,0,0,0,0,2,0,1
0,1,0,0,1,0,13,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,2,0,0
1,0,0,0,1,0,18,0,1
1,1,0,0,0,0,1,0,1
1,0,0,0,1,0,17,0,1
1,1,0,0,0,0,7,0,1
0,1,0,0,0,0,5,10,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,1
0,1,0,0,0,0,10,0,1
1,1,0,0,0,0,2,0,1
1,1,0,0,1,0,6,0,1
0,1,0,0,1,0,5,0,1
1,1,0,0,0,0,18,4,1
1,0,0,0,0,0,10,0,1
1,1,0,0,1,0,25,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,8,0,1
0,0,0,1,1,0,4,5,1
1,0,1,1,1,0,13,0,1
1,1,0,0,0,0,8,0,1
0,0,0,1,0,0,4,12,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,30,4,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,42,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,12,3,1
1,0,0,0,0,0,10,0,1
1,0,0,0,1,0,2,0,1
1,0,0,0,0,0,13,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,10,69,1
0,0,0,0,0,0,3,0,1
1,1,0,0,0,0,4,3,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,5,4,1
0,0,0,0,0,0,2,0,0
1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,41,14,1
1,1,0,0,0,0,15,6,1
1,1,0,0,1,0,6,0,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,14,4,1
0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,10,6,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,16,0,1
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,1,1,1,1,0,3,15,1
0,1,0,0,0,0,2,0,0
1,1,1,0,0,0,10,0,1
1,1,0,0,0,0,20,1,1
1,0,0,0,0,0,2,0,0
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,13,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,4,720,1
0,0,0,1,0,0,11,20,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,19,10,1
0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,0,1
1,1,0,0,0,0,7,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,5,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,0,1
1,1,0,0,1,0,4,0,1
1,0,1,1,0,0,4,2,0
0,0,0,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,5,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,4,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,3,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,25,3,1
1,0,0,1,0,1,4,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,6,1,1
1,0,0,1,1,0,11,2,1
0,0,0,0,1,0,5,5,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,6,3,1
1,0,0,0,0,0,2,0,1
0,0,0,0,0,0,14,0,1
0,0,0,0,1,0,29,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,8,0,1
1,1,1,0,0,0,1,1,1
0,0,0,0,0,0,3,0,1
1,1,0,1,1,0,27,0,1
1,0,0,1,1,1,4,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,5,3,1
1,1,0,0,0,0,2,2,1
1,0,1,0,1,0,3,5,0
1,1,1,0,0,0,2,0,1
0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,74,12,1
1,0,0,1,1,0,3,0,1
0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,8,0,1
0,1,0,0,1,0,10,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,18,6,1
1,0,0,0,1,0,43,0,1
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,6,0,1
0,0,0,0,1,0,6,1,1
1,1,0,0,0,0,3,1,1
1,1,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,19,59,1
0,0,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,7,7,1
1,1,1,0,1,0,10,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,5,1,1
1,1,0,0,0,0,23,8,1
0,1,0,0,0,0,5,7,1
0,0,0,1,0,0,22,1,1
1,1,0,1,0,0,3,5,1
0,1,0,0,1,0,9,1,1
1,1,0,1,1,0,2,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,9,1
0,0,0,0,1,0,2,6,1
0,1,0,1,1,0,4,1,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,2,2,1
1,1,0,0,0,0,2,0,1
1,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,20,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1
1,1,0,0,0,0,25,2,1
1,1,1,1,1,0,5,0,1
0,0,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6,1,1
1,1,0,0,1,0,3,8,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,3,1
0,0,0,0,1,1,3,0,1
0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,4,1,0
0,1,0,0,0,0,2,0,1
0,1,0,0,0,0,1,1,1
1,1,0,0,0,0,9,1,1
1,1,0,0,0,0,4,0,1
1,0,0,0,1,0,6,0,1
0,1,0,0,0,0,1,4,1
0,0,0,0,0,0,5,0,1
1,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,18,1
1,1,0,0,0,0,1,2,1
0,0,0,0,0,0,2,0,1
0,1,0,1,1,0,3,0,0
1,0,0,1,1,0,8,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,1
1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1
0,0,1,0,1,0,2,3,0
1,1,0,0,0,0,24,67,1
1,1,1,1,1,0,2,2,1
0,1,0,0,0,0,7,1,1
0,0,0,0,1,0,83,1,1
1,0,1,0,0,0,2,0,0
0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,5,2,1
1,1,1,1,1,0,149,1,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,7,4,1
1,1,0,0,1,0,11,4,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,27,0,1
0,1,0,0,0,0,7,0,1
0,0,1,0,0,0,1,2,0
1,1,1,0,0,0,30,0,1
0,1,0,0,0,0,3,0,1
1,1,1,0,1,0,9,1,1
0,0,0,0,0,0,1,0,0
0,1,0,1,0,0,15,1,1
1,1,0,0,1,0,7,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,5,5,1
1,0,0,0,1,0,6,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,9,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0
1,0,0,0,1,0,10,4,1
1,0,0,0,0,0,3,0,1
1,0,0,0,0,0,12,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,1
0,1,0,0,0,0,3,0,1
1,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,6,0,1
1,1,0,0,1,1,24,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,12,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,1,1,0,1
1,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,1
1,0,0,0,1,0,12,8,1
1,1,0,0,0,0,10,0,1
0,0,0,0,1,0,7,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,2,1,1
1,1,0,0,0,0,13,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,24,4,1
1,1,0,1,1,0,11,9,1
1,0,0,0,1,0,20,8,1
1,1,0,0,0,0,22,2,1
1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,7,10,1
0,0,0,1,1,0,7,2,1
1,1,0,1,1,0,3,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,20,1,1
1,1,0,0,1,0,20,0,1
0,1,0,1,1,0,3,0,0
1,1,0,0,0,0,7,1,1
1,1,0,0,0,0,1,0,1
1,1,0,0,0,0,72,1,1
1,1,1,0,0,0,16,8,1
1,1,1,0,0,0,6,0,0
1,1,0,0,0,0,4,2,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,44,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,2,0,1
1,1,0,0,0,0,17,0,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,4,0,1
1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,18,0,1
1,1,0,1,0,0,37,10,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,21,1,1
1,0,1,0,1,0,1,0,1
1,1,1,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,3,0,1
1,1,0,0,0,0,2,0,0
1,1,0,0,1,0,2,0,1
1,1,0,0,1,0,20,0,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,3,0,0
1,1,0,0,0,0,2,0,1
0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,11,0,1
1,1,0,0,1,0,18,0,1
1,1,0,0,1,0,3,6,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,19,1
0,0,0,1,1,0,5,2,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,8,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,9,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
1,1,1,1,1,0,5,0,1
0,1,1,0,0,0,2,0,1
1,1,1,1,1,0,5,3,1
1,1,0,0,0,0,20,1,1
1,1,0,0,0,0,4,0,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,17,2,1
1,1,0,0,0,0,18,7,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,0,1
1,1,1,0,0,0,6,9,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,22,1,1
0,1,0,1,1,0,6,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,2,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,5,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,14,13,1
0,0,0,0,0,0,4,0,1
0,0,0,0,0,0,2,0,1
1,1,0,0,0,0,8,3,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,3,0,1
0,1,0,0,0,0,3,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0
1,0,1,0,1,0,2,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,6,0,1
0,0,0,0,1,0,4,0,1
0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,4,0,1
1,0,0,1,1,0,22,17,1
0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,36,0,1
0,1,0,0,1,0,5,0,1
1,0,0,1,1,0,4,0,1
1,1,0,0,1,0,54,0,1
1,1,0,0,1,0,16,12,1
1,0,0,0,1,0,12,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,12,0,1
1,1,0,0,0,0,18,2,1
1,1,0,0,0,0,12,3,1
1,0,0,0,0,0,6,0,1
1,1,1,0,0,0,4,32,1
1,0,0,0,0,0,21,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,11,0,1
1,1,1,1,1,0,28,2,1
1,1,0,0,0,0,1,7,1
1,1,0,0,0,0,2,0,1
0,1,0,0,0,0,4,7,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,7,1,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,15,0,1
0,0,0,0,0,1,21,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0
1,1,0,0,0,0,8,1,1
1,1,0,0,0,0,2,0,0
0,1,1,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,2,1
1,1,1,1,1,1,18,15,1
1,1,0,0,0,0,0,0,0
1,0,0,0,0,0,21,15,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,4,0,1
1,1,0,0,0,0,8,4,1
0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3,0,1
1,1,0,0,0,0,6,2,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,15,0,1
1,1,0,0,1,0,25,10,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,22,20,1
1,0,0,1,1,0,1,13,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,16,7,1
0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,59,1,1
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,7,0,1
0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,16,2,1
0,1,1,0,0,0,53,0,1
1,1,0,0,0,0,9,0,1
1,1,0,1,1,0,1,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,8,17,0
1,1,0,0,0,0,16,1,1
0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,10,8,1
1,0,0,0,1,0,6,0,1
0,0,0,0,0,0,2,14,1
1,1,0,0,0,0,12,3,1
1,1,1,0,0,0,6,0,0
1,0,0,1,1,0,7,1,1
1,1,1,0,0,0,51,0,1
0,1,0,0,1,0,4,3,1
1,0,0,1,0,0,6,2,1
1,0,0,0,1,0,6,0,0
1,0,0,0,1,0,3,0,1
0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,5,0,1
1,1,0,1,0,0,17,6,1
0,0,0,1,0,0,4,0,0
1,1,0,0,1,0,1,2,1
0,0,0,0,0,0,6,3,1
1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,2,1,1
0,1,1,0,1,1,25,5,1
1,1,0,0,0,0,27,1,1
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,16,7,1
0,0,0,0,0,0,3,0,1
1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,2,0,0
1,1,0,0,1,0,1,7,1
0,0,0,0,1,0,19,2,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1
1,0,0,0,1,0,34,7,1
0,0,0,0,0,0,0,0,0
