DomainLength,IsDomainIP,TLD,TLDLength,NoOfSubDomain,NoOfAmpersandInURL,HasTitle,HasFavicon,Robots,NoOfURLRedirect,NoOfSelfRedirect,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,NoOfCSS,NoOfEmptyRef,label
18,0,142,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
23,0,90,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
25,0,95,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
15,0,101,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
18,0,50,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
20,0,100,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
16,0,276,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,0,99,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,11,2,1
12,0,95,3,1,0,1,1,1,0,0,0,2,0,0,1,0,0,0,0,6,0,1
17,0,252,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
46,0,99,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
22,0,97,3,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1
22,0,103,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,6,1,1
23,0,97,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1
25,0,344,2,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1
17,0,99,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,16,2,1
16,0,93,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,5,1
14,0,258,3,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,3,0,1
21,0,94,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,83,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,241,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,91,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,0,94,3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,23,0,1
17,0,241,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,-1,1
13,0,254,3,1,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0,3,3,1
22,0,92,3,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,12,2,1
19,0,97,3,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,14,10,1
19,0,50,2,2,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,9,0,1
30,0,262,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1
14,0,165,2,2,0,1,1,1,0,0,0,10,0,0,1,0,0,0,0,1,0,1
40,0,211,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,-1,1,0
26,0,254,3,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,-1,1
14,0,101,3,1,0,1,1,0,0,0,0,4,0,1,1,1,0,1,0,4,0,1
8,0,131,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,45,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12,0,156,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
24,0,94,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,3,1
21,0,96,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
24,0,91,3,1,0,1,0,1,0,0,0,2,1,1,1,1,0,0,0,35,3,1
17,0,257,3,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,17,0,1
15,0,105,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,0,104,3,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,8,1,1
20,0,90,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
42,0,100,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,217,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,253,2,2,0,1,1,0,1,0,0,3,0,1,1,1,0,1,0,1,0,1
11,0,42,2,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,10,4,1
26,0,49,2,2,0,1,1,1,0,0,0,5,0,1,1,0,0,0,0,19,9,1
19,0,93,3,1,0,1,1,1,0,0,0,4,0,1,0,0,0,1,0,17,3,1
11,0,182,2,1,0,1,1,1,0,0,0,2,1,1,1,0,0,0,0,18,0,1
28,0,96,3,1,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,28,-1,1
23,0,341,2,2,0,1,1,0,1,1,0,21,1,1,1,1,1,1,0,3,9,1
19,0,88,3,1,0,1,1,0,0,0,0,5,0,1,0,0,0,0,0,183,0,1
17,0,101,3,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,9,0,1
36,0,96,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
19,0,370,2,2,0,1,0,1,1,0,0,2,0,1,1,1,1,0,0,17,2,1
18,0,233,2,2,0,1,1,1,1,1,0,2,0,1,1,0,0,0,0,34,21,1
20,0,168,2,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,18,5,1
15,0,258,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
42,0,90,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,113,2,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,1
23,0,98,3,1,0,1,1,1,1,0,0,2,0,1,1,0,0,1,0,4,0,1
19,0,56,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1
20,0,93,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,42,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,267,3,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,4,0,1
22,0,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,118,2,1,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,4,-1,1
17,0,98,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
14,0,237,2,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,4,20,1
16,0,92,3,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,5,3,1
19,0,249,3,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,13,-1,1
23,0,92,3,1,0,1,1,1,0,0,0,19,0,1,1,1,1,1,0,2,8,1
21,0,86,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,15,3,1
21,0,92,3,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,4,0,1
15,0,92,3,1,0,1,1,1,0,0,0,2,0,1,1,0,0,0,0,15,0,1
15,0,98,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,174,2,1,0,1,0,1,0,0,0,4,0,1,1,0,0,1,0,36,0,1
17,0,103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,105,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,78,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1
30,0,345,2,2,0,1,0,0,0,0,0,19,0,1,1,1,1,1,0,6,0,1
28,0,94,3,1,0,1,0,0,0,0,9,1,0,0,0,0,0,1,0,7,0,1
17,0,135,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,5,1
23,0,90,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
23,0,50,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,101,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,3,1,1
20,0,262,3,1,0,1,1,0,0,0,4,7,1,0,1,0,0,1,0,8,0,1
20,0,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,0,92,3,1,0,1,1,1,0,0,1,4,0,1,1,0,0,0,0,4,0,1
20,0,96,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0
18,0,91,3,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,7,1,1
21,0,258,3,1,0,1,1,0,1,0,0,3,0,1,1,0,0,1,0,1,-1,1
17,0,97,3,1,0,1,1,0,0,0,0,17,0,1,0,0,0,0,0,3,1,1
10,0,116,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,0,90,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,15,2,1
36,0,93,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,217,2,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,16,0
21,0,137,7,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0
26,0,94,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,240,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,258,3,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,43,10,1
17,0,94,3,1,0,1,1,1,0,0,0,5,1,1,1,0,0,1,0,4,0,1
12,0,264,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0
22,0,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
20,0,94,3,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
28,0,94,3,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,23,7,1
10,0,160,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,97,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
11,0,284,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,116,2,1,0,1,1,0,0,0,0,3,0,1,1,0,0,0,1,8,0,1
17,0,97,3,1,0,1,1,1,0,0,0,3,0,1,1,1,0,0,0,15,1,1
14,0,96,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,1
21,0,233,2,2,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,42,0,1
14,0,224,2,1,0,1,1,1,0,0,0,3,0,1,1,0,0,0,0,17,17,1
19,0,100,3,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,3,1
13,1,14,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
17,0,87,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,-1,0
17,0,265,3,1,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,17,2,1
23,0,94,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,100,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,237,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,0,95,3,1,0,1,0,0,0,0,0,7,0,0,1,0,0,1,0,11,2,1
52,0,92,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,242,3,1,0,1,0,1,0,0,0,2,0,1,1,0,0,1,0,27,2,1
16,0,140,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,0,96,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
13,0,126,2,2,0,1,0,0,0,0,0,11,0,1,1,0,0,0,0,14,-1,1
28,0,87,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
28,0,279,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,120,2,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,8,0,1
18,0,248,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,9,1,1
13,0,97,3,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,11,0,1
19,0,93,3,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
28,0,342,2,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,13,0,1
14,0,182,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,96,3,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,7,9,1
19,0,94,3,1,0,1,1,1,0,0,0,5,0,1,1,0,0,0,0,4,1,1
16,0,98,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
19,0,100,3,1,0,1,1,1,0,0,0,3,1,1,1,0,0,1,0,14,7,1
19,0,100,3,1,0,1,0,1,1,0,0,4,1,1,1,0,0,0,0,2,1,1
18,0,245,3,1,0,1,0,1,0,0,0,8,0,1,0,0,0,1,0,7,1,1
19,0,56,2,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,8,7,1
14,0,278,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
19,0,103,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,74,1
19,0,94,3,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1
28,0,101,3,1,0,1,1,1,0,0,0,19,0,1,1,1,1,1,0,3,1,1
26,0,97,3,1,0,1,1,0,0,0,0,19,0,1,0,1,1,1,0,3,0,1
47,0,92,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17,0,343,2,3,0,1,1,1,0,0,4,7,0,0,1,0,0,1,0,10,3,1
14,0,254,3,1,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,7,10,1
22,0,107,3,1,0,1,0,1,0,0,4,3,0,1,1,0,0,0,0,10,1,1
20,0,257,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,7,1,1
8,0,182,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,43,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
31,0,51,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
24,0,94,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
14,0,292,2,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,-1,0
16,0,248,3,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,1
21,0,237,2,2,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,11,16,1
22,0,291,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,17,5,1
21,0,243,2,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,3,1,1
22,0,44,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,0,91,3,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,7,0,1
25,0,248,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,4,0,1
24,0,152,3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,34,1,1
18,0,96,3,1,0,1,1,0,0,0,0,2,0,1,1,0,0,1,0,4,1,1
20,0,362,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
13,0,109,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,19,12,1
17,0,136,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,0,90,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,5,0,1
17,0,264,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,18,6,1
30,0,257,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,6,0,1
26,0,98,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
29,0,101,3,1,0,1,1,1,0,0,1,8,1,1,1,0,0,0,0,6,0,1
19,0,92,3,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,9,0,1
20,0,298,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,287,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1
23,0,116,3,2,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,10,0,1
17,0,98,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-1,1
23,0,95,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,110,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
19,0,180,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
39,0,101,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
26,0,53,2,2,0,1,1,1,0,0,0,2,0,0,0,0,0,1,0,1,1,1
20,0,88,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
14,0,182,2,2,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,10,3,1
24,0,93,3,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,13,86,1
16,0,106,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,9,-1,1
18,0,194,2,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,0,1
26,0,98,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
19,0,83,2,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,30,0,1
14,0,96,3,2,0,1,1,1,0,0,0,2,0,0,1,0,0,1,0,7,1,1
14,0,286,2,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1
24,0,96,3,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,5,1,1
11,0,85,2,1,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,15,1,1
23,0,97,3,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,16,-1,1
15,0,348,2,2,0,1,0,1,0,0,0,-1,0,1,1,0,0,0,0,21,1,1
13,0,96,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16,0,50,2,1,0,1,0,1,0,0,0,10,0,1,0,0,1,1,0,40,3,1
21,0,94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0
24,0,99,3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,2,-1,1
18,0,108,3,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,1
27,0,96,3,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,9,0,1
16,0,235,3,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,-1,1
19,0,182,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,93,3,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,32,2,1
23,0,99,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0
19,0,98,3,1,0,1,1,1,0,0,0,34,0,1,1,1,1,1,1,21,24,1
25,0,90,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,25,9,1
11,0,183,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0
14,0,287,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,122,3,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,3,-1,1
18,0,100,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,5,0
12,0,97,3,1,0,1,0,1,0,0,0,7,0,1,0,0,0,1,0,20,13,1
16,0,325,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,0,96,3,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,11,3,1
20,0,290,2,1,0,1,1,1,0,0,0,3,0,1,0,0,0,0,0,7,2,1
14,0,121,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
9,0,293,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,0
18,0,178,2,2,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,7,-1,1
12,0,174,2,2,0,1,0,1,0,0,0,4,0,1,1,0,0,0,0,21,9,1
17,0,92,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,7,1,1
33,0,268,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,0,115,2,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,2,1
19,0,53,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,16,0,1
11,0,88,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
15,0,306,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,1
29,0,102,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
22,0,92,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,1
20,0,41,3,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0
15,0,75,2,1,0,1,1,0,0,0,0,5,0,1,0,0,0,1,0,1,-1,1
15,0,88,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,345,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
20,0,97,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
20,0,89,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,26,1,1
15,0,187,2,1,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,5,4,1
30,0,94,3,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,0,1
18,0,206,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,257,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
25,0,89,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,0,118,2,1,0,1,0,1,0,0,2,0,0,1,1,0,0,0,0,8,1,1
15,1,4,3,2,15,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0
17,0,46,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
20,0,263,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
17,0,363,2,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,3,1
27,0,106,3,1,0,1,0,0,0,0,0,3,0,1,1,0,0,1,0,14,5,1
20,0,93,3,1,0,1,1,0,1,0,0,2,0,1,1,0,0,1,0,14,0,1
18,0,99,3,1,0,1,1,1,0,0,0,16,0,1,1,0,0,0,0,2,3,1
28,0,94,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,47,6,1
30,0,95,3,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
17,0,104,3,1,0,1,1,0,0,0,0,16,0,1,0,0,0,0,0,2,26,1
27,0,98,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,241,3,1,0,1,0,1,0,0,0,2,1,1,1,1,1,1,0,6,2,1
12,0,260,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0,304,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
17,0,50,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,12,0,0
5,0,173,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
15,0,186,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,1
14,0,94,3,1,0,1,0,0,0,0,0,6,0,0,1,0,0,1,0,4,0,1
15,0,147,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0
13,0,121,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,3,3,1
13,0,91,3,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,8,17,1
19,0,62,2,2,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,7,1,1
34,0,182,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
17,0,99,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
22,0,101,3,1,0,1,0,0,0,0,0,6,0,0,0,0,1,1,0,5,1,1
15,0,295,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1
23,0,162,2,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,1,30,1
13,0,253,3,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,7,0,1
18,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
30,0,90,3,1,0,1,0,0,1,0,22,3,0,0,0,0,0,0,0,15,-1,1
21,0,347,2,2,0,1,1,1,1,0,0,6,1,1,1,0,1,1,0,37,3,1
36,0,208,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,291,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,338,2,2,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,2,6,1
19,0,90,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,4,4,1
18,0,101,3,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
31,0,241,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,254,3,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,12,1,1
17,0,96,3,1,0,1,0,0,1,0,0,2,0,1,1,0,0,1,0,4,4,1
17,0,168,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0
27,0,371,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1
21,0,152,3,1,0,1,1,1,0,0,0,6,0,1,0,0,0,0,0,18,1,1
10,0,101,3,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0
19,0,103,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,99,3,1,0,1,0,1,0,0,0,7,1,1,1,1,1,1,0,31,8,1
23,0,90,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
27,0,106,3,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
19,0,94,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
18,0,260,3,1,0,1,0,1,0,0,0,4,1,1,1,0,1,1,0,44,1,1
24,0,89,3,1,0,1,0,1,0,0,0,-1,0,1,1,1,0,0,0,27,6,1
26,0,100,3,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,9,4,1
13,0,250,3,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,16,0,1
19,0,262,3,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,4,25,1
30,0,96,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
13,0,83,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,0,59,2,2,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,6,1,1
